sensor_id,asset_id,tag,name,sensor_type,unit,normal_min,normal_max,alarm_low,alarm_high,trip_low,trip_high,area,location
P-501-VIB,AREA-EXPORT:P-501,P-501/VIB,Export Crude Pump A - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Metering & Export,Deck E
P-501-CURR,AREA-EXPORT:P-501,P-501/CURR,Export Crude Pump A - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Metering & Export,Deck E
P-501-TEMP,AREA-EXPORT:P-501,P-501/TEMP,Export Crude Pump A - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Metering & Export,Deck E
P-502-FLOW,AREA-EXPORT:P-502,P-502/FLOW,Export Crude Pump B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Metering & Export,Deck E
P-502-PRESS,AREA-EXPORT:P-502,P-502/PRESS,Export Crude Pump B - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Metering & Export,Deck E
P-502-VIB,AREA-EXPORT:P-502,P-502/VIB,Export Crude Pump B - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Metering & Export,Deck E
P-502-CURR,AREA-EXPORT:P-502,P-502/CURR,Export Crude Pump B - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Metering & Export,Deck E
P-502-TEMP,AREA-EXPORT:P-502,P-502/TEMP,Export Crude Pump B - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Metering & Export,Deck E
E-501-TINLET,AREA-EXPORT:E-501,E-501/TINLET,Export Crude Heater - TEMPERATURE,TEMPERATURE,degC,50,120,42.5,138,35,156,Metering & Export,Deck E
E-501-TOUTLET,AREA-EXPORT:E-501,E-501/TOUTLET,Export Crude Heater - TEMPERATURE,TEMPERATURE,degC,30,70,25.5,80.5,21,91,Metering & Export,Deck E
E-501-PSHELL,AREA-EXPORT:E-501,E-501/PSHELL,Export Crude Heater - PRESSURE,PRESSURE,bar,3,15,2.55,17.25,2.1,19.5,Metering & Export,Deck E
E-501-FLOW,AREA-EXPORT:E-501,E-501/FLOW,Export Crude Heater - FLOW,FLOW,m3/h,30,150,25.5,172.5,21,195,Metering & Export,Deck E
FT-501-PV,AREA-EXPORT:FT-501,FT-501/PV,Export Flow Meter A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Metering & Export,Deck E
FT-502-PV,AREA-EXPORT:FT-502,FT-502/PV,Export Flow Meter B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Metering & Export,Deck E
PT-501-PV,AREA-EXPORT:PT-501,PT-501/PV,Export Line Pressure Tx A - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Metering & Export,Deck E
PT-502-PV,AREA-EXPORT:PT-502,PT-502/PV,Export Line Pressure Tx B - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Metering & Export,Deck E
TT-501-PV,AREA-EXPORT:TT-501,TT-501/PV,Export Crude Temp A - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Metering & Export,Deck E
TT-502-PV,AREA-EXPORT:TT-502,TT-502/PV,Export Crude Temp B - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Metering & Export,Deck E
LT-501-PV,AREA-EXPORT:LT-501,LT-501/PV,Export Tank A Level Tx - LEVEL,LEVEL,%,20,80,17,92,14,104,Metering & Export,Deck E
LT-502-PV,AREA-EXPORT:LT-502,LT-502/PV,Export Tank B Level Tx - LEVEL,LEVEL,%,20,80,17,92,14,104,Metering & Export,Deck E
