work_order_id,failure_event_id,asset_id,tag,area,work_order_type,priority,status,raised_date,scheduled_date,completed_date,reported_by,assigned_to,supervisor,work_description,findings,actions_taken,parts_replaced,labor_hours,downtime_hours,production_loss_bbl,scenario_id
WO-01062,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-22 07:00:00Z,2025-11-29 07:00:00Z,2025-11-29 07:49:09Z,CMMS Auto-generated,Sean Murphy,David Chen,OiW analyser calibration and grab sample verification,No defects found. Equipment in satisfactory condition.,OiW analyser calibration and grab sample verification,None,0.8,0,0,
WO-01063,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-06 07:00:00Z,2025-12-13 07:00:00Z,2025-12-13 07:53:54Z,CMMS Auto-generated,Carlos Mendez,Patricia Walsh,OiW analyser calibration and grab sample verification,Instrument calibration checked — within ±0.5% of span.,OiW analyser calibration and grab sample verification,O-ring set,0.9,0,0,
WO-01064,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-20 07:00:00Z,2025-12-27 07:00:00Z,2025-12-27 08:01:17Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,OiW analyser calibration and grab sample verification,All parameters within acceptable limits. Lubrication topped up.,OiW analyser calibration and grab sample verification,Gasket set,1.0,0,0,
WO-01065,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-03 07:00:00Z,2026-01-10 07:00:00Z,2026-01-10 08:11:48Z,CMMS Auto-generated,Erik Larsen,David Chen,OiW analyser calibration and grab sample verification,All parameters within acceptable limits. Lubrication topped up.,OiW analyser calibration and grab sample verification,None,1.2,0,0,
WO-01066,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-17 07:00:00Z,2026-01-24 07:00:00Z,2026-01-24 08:17:52Z,CMMS Auto-generated,Priya Patel,Karen Nilsson,OiW analyser calibration and grab sample verification,No defects found. Equipment in satisfactory condition.,OiW analyser calibration and grab sample verification,O-ring set,1.3,0,0,
WO-01067,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-31 07:00:00Z,2026-02-07 07:00:00Z,2026-02-07 08:15:29Z,CMMS Auto-generated,Astrid Johanssen,Brian Thorpe,OiW analyser calibration and grab sample verification,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,OiW analyser calibration and grab sample verification,Filter elements,1.3,0,0,
WO-01068,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-02-28 07:00:00Z,2026-03-07 07:00:00Z,2026-03-07 08:10:23Z,CMMS Auto-generated,Marco Ferretti,Karen Nilsson,OiW analyser calibration and grab sample verification,No defects found. Equipment in satisfactory condition.,OiW analyser calibration and grab sample verification,Filter elements,1.2,0,0,
WO-01069,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-14 07:00:00Z,2026-03-21 07:00:00Z,2026-03-21 07:52:11Z,CMMS Auto-generated,Linda Olsen,David Chen,OiW analyser calibration and grab sample verification,Coupling alignment checked — within 0.05mm tolerance.,OiW analyser calibration and grab sample verification,None,0.9,0,0,
WO-01070,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-28 07:00:00Z,2026-04-04 07:00:00Z,2026-04-04 08:12:12Z,CMMS Auto-generated,Fiona Stewart,Brian Thorpe,OiW analyser calibration and grab sample verification,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,OiW analyser calibration and grab sample verification,Gasket set,1.2,0,0,
WO-01071,,AREA-UTIL:ESD-001,ESD-001,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 13:42:38Z,CMMS Auto-generated,Marco Ferretti,David Chen,ESD partial stroke test and HIPPS functional test,Instrument calibration checked — within ±0.5% of span.,ESD partial stroke test and HIPPS functional test,None,6.7,0,0,
WO-01072,,AREA-UTIL:ESD-001,ESD-001,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 14:15:17Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,ESD partial stroke test and HIPPS functional test,No defects found. Equipment in satisfactory condition.,ESD partial stroke test and HIPPS functional test,None,7.3,0,0,
WO-01073,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:41:51Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,Export pump vibration and seal check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Export pump vibration and seal check,O-ring set,1.7,0,0,
WO-01074,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 09:17:30Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,Export pump vibration and seal check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Export pump vibration and seal check,None,2.3,0,0,
WO-01075,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 09:34:55Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,Export pump vibration and seal check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Export pump vibration and seal check,None,2.6,0,0,
WO-01076,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:36:14Z,CMMS Auto-generated,Marco Ferretti,Patricia Walsh,Export pump vibration and seal check,Instrument calibration checked — within ±0.5% of span.,Export pump vibration and seal check,None,1.6,0,0,
WO-01077,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:37:05Z,CMMS Auto-generated,Fiona Stewart,Patricia Walsh,Export pump vibration and seal check,Instrument calibration checked — within ±0.5% of span.,Export pump vibration and seal check,Gasket set,1.6,0,0,
WO-01078,,AREA-EXPORT:P-501,P-501,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 09:04:00Z,CMMS Auto-generated,Priya Patel,Karen Nilsson,Export pump vibration and seal check,All parameters within acceptable limits. Lubrication topped up.,Export pump vibration and seal check,None,2.1,0,0,
WO-01079,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:51:33Z,CMMS Auto-generated,Erik Larsen,David Chen,Export pump vibration and seal check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Export pump vibration and seal check,Gasket set,1.9,0,0,
WO-01080,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 09:32:35Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,Export pump vibration and seal check,No defects found. Equipment in satisfactory condition.,Export pump vibration and seal check,O-ring set,2.5,0,0,
WO-01081,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:53:57Z,CMMS Auto-generated,Erik Larsen,Brian Thorpe,Export pump vibration and seal check,All parameters within acceptable limits. Lubrication topped up.,Export pump vibration and seal check,Filter elements,1.9,0,0,
WO-01082,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:57:53Z,CMMS Auto-generated,Fiona Stewart,Patricia Walsh,Export pump vibration and seal check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Export pump vibration and seal check,Gasket set,2.0,0,0,
WO-01083,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:39:04Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,Export pump vibration and seal check,No defects found. Equipment in satisfactory condition.,Export pump vibration and seal check,None,1.7,0,0,
WO-01084,,AREA-EXPORT:P-502,P-502,AREA-EXPORT,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:47:27Z,CMMS Auto-generated,Linda Olsen,Brian Thorpe,Export pump vibration and seal check,No defects found. Equipment in satisfactory condition.,Export pump vibration and seal check,None,1.8,0,0,
